Item No.,Class,Prod Head,Item Desc.,UPC,U/M,Min. Qty,Packed,Retail Pack,Case Pack,Unit Weight, Price , Each Price , Retail ,Profit %,UPC 1,UPC 2,UPC 3,UPC 4,Stamp Tax 1,Stamp Tax 2,Stamp Tax 3,Stamp Tax 4,Stamp Tax 5,Allowance $,Category,Qmult,Custom Category,,,,,
202721,0,2420,SHOW 5 FOR $1 SPIRAL TROPIC TWISTA,8.58765E+11,BOX,,00015 EA,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
202895,0,2525,GRIZZLY MINT POUCH,42100000047,SLE,,00005 EA,05 SLE,18,0.55, $25.31 , $5.07 , $7.49 ,32.4,42100000047,42100000054,42100010046,23535,8.88,0,0,0,0,0,20,5,20,TOB,,,,
203059,0,2630,REDMAN CHEW,70195590167,BX,,00012 EAC,12 BOX,12,0.55, $79.61 , $6.63 , $9.99 ,33.6,70195590167,70195591331,70195591331,23624,0,0,0,0,0,0,20,12,20,TOB,,,,
203265,0,2630,REDMAN CHEW GOLDEN BLEND,70195599269,BX,,00012 EAC,12 BOX,12,0.55, $79.61 , $6.63 , $9.99 ,33.6,70195599269,70195599450,70195599740,23627,0,0,0,0,0,0,20,12,20,TOB,,,,
203612,0,2420,SHOW 5 FOR $1 SPIRAL WET & FRUITY,8.58765E+11,BOX,,00015 EA,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
203620,0,2420,SHOW 5 FOR $1 SPIRAL BLUE PALMA,8.58765E+11,BOX,,00015 EA,15 BOX,24,0, $12.17 , $0.81 , $0.99 ,18.1,8.58765E+11,8.58765E+11,8.58765E+11,,4.27,0,0,0,0,0,20,15,20,TOB,,,,
203695,0,2525,COPENHAGEN POUCH MINT,73100000393,SLE,,00005 EA,05 SLE,18,0.55, $25.22 , $5.04 , $7.39 ,31.8,73100000393,73100030390,73100320392,,8.85,0,0,0,0,0,20,5,20,TOB,,,,
203786,0,2525,STOKERS LC WINTERGREEN 5CN ROLL,7.99953E+11,SLV,,00005 CAN,5 CANS,18,0, $15.41 , $3.08 , $4.49 ,31.4,7.99953E+11,7.99953E+11,1.08E+13,,1.08,0,0,0,0,0,20,5,20,TOB,,,,
203794,0,2525,STOKERS LC MINT 5CN ROLL,7.99953E+11,SLV,,00005 CAN,5 CANS,18,0, $15.41 , $3.08 , $4.49 ,31.4,7.99953E+11,7.99953E+11,1.08E+13,,1.08,0,0,0,0,0,20,5,20,TOB,,,,
203802,0,2525,STOKERS LC STRAIGHT 5CN ROLL,7.99953E+11,SLV,,00005 CAN,5 CANS,18,0, $15.41 , $3.08 , $4.49 ,31.4,7.99953E+11,7.99953E+11,1.08E+13,,1.08,0,0,0,0,0,20,5,20,TOB,,,,
