Category Code,Category Description,Retail UPC,Case UPC,GTIN, Vendor Item Number,Pack,Size,Description
,DT PEPSI,012000002953,012000002953,,6320 ,PPK15,1L PL ,DT PEPSI
,DT PEPSI,012000171758,012000171758,,6320 ,PPK15,1L PL ,DT PEPSI
,MDEW,012000002977,012000002977,,6319 ,PPK15,1L PL ,MDEW
,PEPSI,012000002946,012000002946,,3028 ,PPK15,1L PL ,PEPSI
,DT LPT IT GT CIT,012000061462,012000061462,,128972 ,PPK15,20OZ PL ,DT LPT IT GT CIT
,DT LPT IT GT WTML,012000061493,012000061493,,128974 ,PPK15,20OZ PL ,DT LPT IT GT WTML
,LIT NAT GT CIT,012000061455,012000061455,,128965 ,PPK15,20OZ PL ,LIT NAT GT CIT
,LIT NAT GT PFM MG,012000061479,012000061479,,128968 ,PPK15,20OZ PL ,LIT NAT GT PFM MG
,LIT NAT POM BL,012000061530,012000061530,,128967 ,PPK15,20OZ PL ,LIT NAT POM BL
,LIT NAT WL,012000061523,012000061523,,128966 ,PPK15,20OZ PL ,LIT NAT WL
,LPT NAT IT HNYPCH,012000321528,012000321528,,133923 ,PPK15,20OZ PL ,LPT NAT IT HNYPCH
,LPT NAT IT STDRFT,012000328657,012000328657,,133922 ,PPK15,20OZ PL ,LPT NAT IT STDRFT
,AQ WTR,012000001598,012000001598,,30346 ,PPK24,20OZ PL ,AQ WTR
,CRSH GRP,078000013528,078000013528,,133044 ,PPK24,20OZ PL ,CRSH GRP
,CRSH ORG,078000013283,078000013283,,133063 ,PPK24,20OZ PL ,CRSH ORG
,CRSH STW,078000013696,078000013696,,133105 ,PPK24,20OZ PL ,CRSH STW
,CRSH GRPFT 20oz,078000022988,078000022988,,142575 ,PPK24,20OZ PL ,CRSH GRPFT 20oz
,DT MDEW,012000001345,012000001345,,5873 ,PPK24,20OZ PL ,DT MDEW
,DT PEPSI,012000001307,012000001307,,4928 ,PPK24,20OZ PL ,DT PEPSI
,DT PEPSI,012000171741,012000171741,,4928 ,PPK24,20OZ PL ,DT PEPSI
,DT PEPSI WCHE,012000005794,012000005794,,99677 ,PPK24,20OZ PL ,DT PEPSI WCHE
,DT PEPSI WCHE,012000172380,012000172380,,99677 ,PPK24,20OZ PL ,DT PEPSI WCHE
,DT SRMIST,012000201158,012000201158,,99676 ,PPK24,20OZ PL ,DT SRMIST
,MAN SOL APL,012000013812,012000013812,,120199 ,PPK24,20OZ PL ,MAN SOL APL
,MDEW,012000001314,012000001314,,5874 ,PPK24,20OZ PL ,MDEW
,MDEW BAJA BLAST,012000130274,012000130274,,142878 ,PPK24,20OZ PL ,MDEW BAJA BLAST
,MDEW GM FL CITCHE,012000010361,012000010361,,104223 ,PPK24,20OZ PL ,MDEW GM FL CITCHE
,MDEW CD RD,012000002243,012000002243,,66561 ,PPK24,20OZ PL ,MDEW CD RD
,MDEW THWBK,012000032431,012000032431,,122682 ,PPK24,20OZ PL ,MDEW THWBK
,MUG RT BR,012000009105,012000009105,,9567 ,PPK24,20OZ PL ,MUG RT BR
,PEPSI CHE VAN,012000381201,012000381201,,125125 ,PPK24,20OZ PL ,PEPSI CHE VAN
,PEPSI,012000001291,012000001291,,4927 ,PPK24,20OZ PL ,PEPSI
,Pepsi RL Suger Van 20oz 1/24,012000130564,012000130564,,143892 ,PPK24,20OZ PL ,Pepsi RL Suger Van 20oz 1/24
,Pepsi RL Suger Wild Cherry 20oz 1/24,012000130557,012000130557,,143898 ,PPK24,20OZ PL ,Pepsi RL Suger Wild Cherry 20oz 1/24
,Pepsi RL Suger 20oz 1/24,012000030659,012000030659,,122683 ,PPK24,20OZ PL ,Pepsi RL Suger 20oz 1/24
,PEPSI LIMON,012000142116,012000142116,,149367 ,PPK24,20OZ PL ,PEPSI LIMON
,PEPSI MAX,012000018800,012000018800,,103512 ,PPK24,20OZ PL ,PEPSI MAX
,PEPSI NXT,012000150258,012000150258,,130881 ,PPK24,20OZ PL ,PEPSI NXT
,PEPSI THWBK,012000030659,012000030659,,122683 ,PPK24,20OZ PL ,PEPSI THWBK
,PEPSI WCHE,012000005596,012000005596,,8383 ,PPK24,20OZ PL ,PEPSI WCHE
,PEPSI X,012000391750,012000391750,,136191 ,PPK24,20OZ PL ,PEPSI X
,SRMIST NAT LL,012000215094,012000215094,,125651 ,PPK24,20OZ PL ,SRMIST NAT LL
,SCHWP G ALE,078000206401,078000206401,,18628 ,PPK24,20OZ PL ,SCHWP G ALE
,SBE CRAN GRPFT,739510400108,739510400108,,123562 ,PPK12,20OZ PL LNK ,SBE CRAN GRPFT
,SBE ENRG CIT,739510900004,739510900004,,70166 ,PPK12,20OZ PL LNK ,SBE ENRG CIT
,SBE GOJI PR YBAMT,739510209732,739510209732,,129262 ,PPK12,20OZ PL LNK ,SBE GOJI PR YBAMT
,SBE GT,739510800106,739510800106,,70172 ,PPK12,20OZ PL LNK ,SBE GT
,SBE LN FJ APL CRN,739510003125,739510003125,,123054 ,PPK12,20OZ PL LNK ,SBE LN FJ APL CRN
,SBE LN HNY GT,739510114029,739510114029,,123053 ,PPK12,20OZ PL LNK ,SBE LN HNY GT
,SBE LN RAZ LMND,739510003118,739510003118,,123057 ,PPK12,20OZ PL LNK ,SBE LN RAZ LMND
,SBE MGO MLN,739510100909,739510100909,,123541 ,PPK12,20OZ PL LNK ,SBE MGO MLN
,SBE ORG CRM,739510900431,739510900431,,123550 ,PPK12,20OZ PL LNK ,SBE ORG CRM
,SBE ORG CRT,739510400009,739510400009,,123565 ,PPK12,20OZ PL LNK ,SBE ORG CRT
,SBE PNA CLD,739510900400,739510900400,,123554 ,PPK12,20OZ PL LNK ,SBE PNA CLD
,SBE PWR FT PCH,739510900103,739510900103,,123546 ,PPK12,20OZ PL LNK ,SBE PWR FT PCH
,SBE STW BAN,739510900417,739510900417,,123556 ,PPK12,20OZ PL LNK ,SBE STW BAN
,SBE STW DAQ,739510100701,739510100701,,123558 ,PPK12,20OZ PL LNK ,SBE STW DAQ
,SBE WHT PCH OLG T,739510209749,739510209749,,129263 ,PPK12,20OZ PL LNK ,SBE WHT PCH OLG T
